[Mon Apr 12 23:11:57.647 2010] 0.098 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:13:59.848 2010] 0.012 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:14:50.553 2010] 0.025 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:17:08.364 2010] 0.039 sec [all/0/rel 0 (0,1000)] [idx_logs] a
[Mon Apr 12 23:26:40.460 2010] 0.035 sec [all/0/rel 389626 (0,1000)] [idx_logs] interface
[Mon Apr 12 23:37:05.714 2010] 0.097 sec [all/0/rel 162413 (0,1000)] [idx_logs] link
[Mon Apr 12 23:37:48.504 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_logs] conf
[Mon Apr 12 23:38:54.053 2010] 0.000 sec [all/0/rel 42 (0,1000)] [idx_logs] mon
[Mon Apr 12 23:39:16.801 2010] 0.000 sec [all/0/rel 18 (0,1000)] [idx_logs] target
[Mon Apr 12 23:39:33.634 2010] 0.002 sec [all/0/rel 8553 (0,1000)] [idx_logs] sys
[Mon Apr 12 23:53:20.868 2010] 0.066 sec [all/0/rel 72295 (0,1000)] [idx_logs] info
[Mon Apr 12 23:54:10.032 2010] 0.045 sec [all/0/rel 72295 (0,1000)] [idx_logs] info
[Mon Apr 12 23:54:30.316 2010] 0.570 sec [all/0/rel 72295 (0,1000)] [idx_logs] info
[Tue Apr 13 00:05:33.781 2010] 0.028 sec [all/0/rel 288 (0,1000)] [idx_logs] config
[Tue Apr 13 00:05:46.415 2010] 0.017 sec [all/0/rel 67 (0,1000)] [idx_logs] config_i
[Tue Apr 13 00:06:00.895 2010] 0.012 sec [all/0/rel 0 (0,1000)] [idx_logs] ink
[Tue Apr 13 00:06:08.069 2010] 0.051 sec [all/0/rel 162413 (0,1000)] [idx_logs] link
[Tue Apr 13 00:07:50.467 2010] 0.011 sec [all/0/rel 79 (0,1000)] [idx_logs] config_i
[Tue Apr 13 09:33:29.618 2010] 1.059 sec [all/0/rel 445431 (0,1000)] [idx_logs] interface
[Tue Apr 13 10:01:44.272 2010] 0.118 sec [all/0/rel 1184978 (0,1000)] [idx_logs] interface
[Tue Apr 13 10:02:01.552 2010] 0.002 sec [all/0/rel 228 (0,1000)] [idx_logs] config_i
[Tue Apr 13 10:03:42.792 2010] 0.118 sec [all/0/rel 1184978 (0,1000)] [idx_logs] interface
[Tue Apr 13 10:03:58.606 2010] 0.103 sec [all/0/rel 1184978 (0,1000)] [idx_logs] interface
[Thu Apr 15 00:19:03.644 2010] 0.003 sec [all/0/rel 23773 (0,1000)] [idx_logs] interface
[Thu Apr 15 00:19:43.729 2010] 0.000 sec [all/0/rel 4 (0,1000)] [idx_logs] config_i
[Thu Apr 15 11:13:45.798 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_logs] fred
[Thu Apr 15 12:48:21.800 2010] 0.005 sec [all/0/rel 50451 (0,1000)] [idx_logs] interface
[Thu Apr 15 12:54:29.919 2010] 0.008 sec [all/0/rel 50451 (0,1000)] [idx_logs] interface
[Thu Apr 15 12:55:13.564 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_delta_logs] interface
[Thu Apr 15 12:55:33.192 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_delta_logs] sys
[Thu Apr 15 12:56:19.195 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_delta_logs] interface
[Thu Apr 15 12:57:00.943 2010] 0.000 sec [all/0/rel 0 (0,1000)] [idx_delta_logs] interface
